id,message,label
1,QuestionWhat are some of the most effective ways to fight depression?,1
2,How did you get rid of your depression?,1
3,What is it like to undergo depression? How does it feel? How does one deal with it? How important is it to be patient when dealing with depression?,1
4,How does one overcome depression and anxiety?,1
5,How do I avoid getting depressed?,1
6,What is the most depressing one liner?,1
7,What are the basic signs of having depression?,1
8,What are some ways of overcoming depression without medication?,1
9,What can I do to help myself when I?m depressed?,1
10,What does being depressed feel like?,1
11,How do I get out of depression by myself?,1
12,What cured your depression?,1
13,What is depression?,1
14,How can I deal with depression?,1
15,What is the reason for depression?,1
16,What positives has depression added to your life?,1
17,What does depression feel like? Can you actually describe it?,1
18,What are the best treatments for depression?,1
19,What is the worst thing about depression?,1
20,How can depression be treated without taking anti-depression pills? I?m in my early 30s and my depression is getting worse. I want to learn how to deal with it or take something natural.,1
21,What is a way to tell if someone has depression?,1
22,Why do so many people have depression nowadays?,1
23,"How do I get out of this depression? I had a great experience on a church camping trip, felt like I?d made friends and had a life-change. But once we got back to normal life, my new friends deserted me. I?ve tried tutoring and volunteering.",1
24,What does depression look like?,1
25,How do I get rid of anxiety and depression?,1
26,Is meditation a good way to help people in depression?,1
27,How can I help my friend with depression?,1
28,"If depression was a colour, what would it be?",1
29,What's the cause of your depression?,1
30,How can I overcome depression?,1
31,How do you help somebody with depression?,1
32,How does depression kill people?,1
33,Are people with higher IQ more likely to be depressed?,1
34,What is the difference between clinical depression and normal depression?,1
35,Why do teenagers get depressed so frequently?,1
36,Why is depression so hard to overcome?,1
37,What are some advice for someone who is depressed?,1
38,What are some good ways to cope with anxiety and depression without using medication?,1
39,What are the biggest misconceptions about depression?,1
40,How do I get out of depression?,1
41,Can you die from depression?,1
42,Can marijuana help with depression?,1
43,Is there really something like depression?,1
44,What is your depression story?,1
45,Does depression cause permanent brain damage? I've been depressed for 5 years now.,1
46,"How do you know if you are depressed? When I think over past failures, I feel bad for wasting years and my parent's money. But if I cry about it, I fear I?ll become depressed. How do I analyze what I did wrong and cry, without becoming depressed?",1
47,What is it like to be in a relationship with someone with depression?,1
48,What are the best books for dealing with depression?,1
49,Which is the best movie to watch when you are in a depression?,1
50,What are the types of depression?,1
51,How can I get over depression?,1
52,What are some herbal/natural remedies to help manage depression?,1
53,"How can I deal with depression, anxiety and low self-esteem?",1
54,Why do some people hide their depression?,1
55,Can Depression go away on its own after time?,1
56,Can one fight depression alone?,1
57,How can you predict that you suffer from depression?,1
58,How do I keep motivated during depression?,1
59,How do I overcome depression without getting help from anyone?,1
60,How will you explain depression in a single line?,1
61,"Question""Do some depressed people",1
62,What are some of the most effective ways to fight depression?,1
63,What should a person can do when he/she feel depressed?,1
64,How does one overcome depression and anxiety?,1
65,How can I overcome depression and a feeling of emptiness?,1
66,How do I overcome depression without getting help from anyone?,1
67,How should I avoid anxity and depression?,1
68,I've become so depressed I rarely leave my bed anymore. I rarely brush my hair or put on normal clothes. I cry constantly. I refuse to see a doctor or take medication. What should I do?,1
69,How do I get out of depression?,1
70,What is the reason for depression?,1
71,"Do some depressed people, after many many years, simply snap out of their depression? Does that happen to anyone or is it literally impossible?",1
72,What are some of the most effective ways to fight depression?,1
73,What should a person can do when he/she feel depressed?,1
74,How does one overcome depression and anxiety?,1
75,How can I overcome depression and a feeling of emptiness?,1
76,How do I overcome depression without getting help from anyone?,1
77,How should I avoid anxity and depression?,1
78,I've become so depressed I rarely leave my bed anymore. I rarely brush my hair or put on normal clothes. I cry constantly. I refuse to see a doctor or take medication. What should I do?,1
79,How do I get out of depression?,1
80,What is the reason for depression?,1
81,"I have depression. I want to be wealthy, but can I be with depression?",1
82,How do I come out of depression?,1
83,How do I get out of depression by myself?,1
84,How do I stop feel depressed?,1
85,What can I do to live well with depression?,1
86,"Do some depressed people, after many many years, simply snap out of their depression? Does that happen to anyone or is it literally impossible?",1
87,What are some of the most effective ways to fight depression?,1
88,What should a person can do when he/she feel depressed?,1
89,How does one overcome depression and anxiety?,1
90,How can I overcome depression and a feeling of emptiness?,1
91,How do I overcome depression without getting help from anyone?,1
92,QuestionWhy are Indian IT industries a horrible place to work?,1
93,Which is the most stressful profession in India?,1
94,Is working in an Indian IT company really horrible?,1
95,I'm stuck in a career rut. How do I get out?,1
96,Is working in an IT company really bad?,1
97,What are working hours in the Indian IT industry?,1
98,How stressful are jobs in IT sectors?,1
99,Why do most of the people in Indian IT companies want to leave IT for good?,1
100,Are Indian IT Jobs really boring and dumb in nature?,1
101,Is working in the IT sector of India bad?,1
102,Why are Indian IT industries a horrible place to work?,1
103,Which is the most stressful profession in India?,1
104,Is working in an Indian IT company really horrible?,1
105,I'm stuck in a career rut. How do I get out?,1
106,Is working in an IT company really bad?,1
107,What are working hours in the Indian IT industry?,1
108,How stressful are jobs in IT sectors?,1
109,Why do most of the people in Indian IT companies want to leave IT for good?,1
110,Are Indian IT Jobs really boring and dumb in nature?,1
111,Is working in the IT sector of India bad?,1
112,"Are software jobs stressful? If yes, in what way are they?",1
113,I am a software engineer working in the Indian IT industry for last 4 years. I am tired of my job. What should I do?,1
114,What are the pros and cons of working in the IT sector in India?,1
115,What are some unknown sides of life as an IT professional in India?,1
116,Why are most of the IT engineers frustrated in their life?,1
117,Why are Indian IT industries a horrible place to work?,1
118,Which is the most stressful profession in India?,1
119,Is working in an Indian IT company really horrible?,1
120,I'm stuck in a career rut. How do I get out?,1
121,Is working in an IT company really bad?,1
122,What are working hours in the Indian IT industry?,1
123,QuestionHow can we end the stigma of mental illness?,1
124,Why is there still so much stigma around mental health issues when it's not a choice by the person?,1
125,What is the impact of stigma on those living with mental illness?,1
126,Where is the line between exploiting mental illness and erasing the negative stigma attached?,1
127,How do mentally ill people cope with the self-imposed stigma that they are mentally ill?,1
128,Why are there so many stigmas surrounding mental illness?,1
129,Why does psychiatric stigma exist?,1
130,Why is there so much ignorance and stigma of mental illness?,1
131,What mental illnesses have the least stigma associated with them?,1
132,How does social stigma affect mental health?,1
133,Why is mental illness a social stigma?,1
134,What mental health disorders have the highest stigma attached?,1
135,What is the mental health stigma?,1
136,Why do mental illnesses have such a stigma attached to them?,1
137,Why is there so much stigma against mental illness?,1
138,Why do mental illnesses have such a stigma attached to them?,1
139,How can we end the stigma of mental illness?,1
140,Why is there still so much stigma around mental health issues when it's not a choice by the person?,1
141,What is the impact of stigma on those living with mental illness?,1
142,Where is the line between exploiting mental illness and erasing the negative stigma attached?,1
143,How do mentally ill people cope with the self-imposed stigma that they are mentally ill?,1
144,What mental illnesses have the least stigma associated with them?,1
145,How does social stigma affect mental health?,1
146,Why is mental illness a social stigma?,1
147,What mental health disorders have the highest stigma attached?,1
148,What is the mental health stigma?,1
149,What are the origins of mental illness stigma?,1
150,What is the stigma against mental illness?,1
151,Is education the answer to ending the stigma attached to mental illness?,1
152,What is the advantage of mental illness stigma?,1
153,Why is mental health a stigma in the medical community?,1
154,How can we end the stigma of mental illness?,1
155,Why is there still so much stigma around mental health issues when it's not a choice by the person?,1
156,What is the impact of stigma on those living with mental illness?,1
157,Where is the line between exploiting mental illness and erasing the negative stigma attached?,1
158,How do mentally ill people cope with the self-imposed stigma that they are mentally ill?,1
159,What mental illnesses have the least stigma associated with them?,1
160,QuestionWhat are the best ways to reduce the weight of mental stress?,1
161,How hard is it to cope with stress?,1
162,How do I deal with the stress in my life?,1
163,How do I overcome my mind whenever I am stressed.?,1
